Iter-0; D_loss: 1.596374273300171; G_loss: 2.21364426612854
Iter-1000; D_loss: 0.005788523703813553; G_loss: 8.442850112915039
Iter-2000; D_loss: 0.0028234715573489666; G_loss: 8.809467315673828
Iter-3000; D_loss: 0.02578173391520977; G_loss: 5.689117431640625
Iter-4000; D_loss: 0.19349071383476257; G_loss: 5.645480632781982
Iter-5000; D_loss: 0.24757060408592224; G_loss: 5.200473785400391
Iter-6000; D_loss: 0.5310072302818298; G_loss: 3.6568081378936768
Iter-7000; D_loss: 0.32809045910835266; G_loss: 3.7595343589782715
Iter-8000; D_loss: 0.6223044395446777; G_loss: 2.9218809604644775
Iter-9000; D_loss: 0.6394878029823303; G_loss: 2.5433287620544434
Iter-10000; D_loss: 0.7677819728851318; G_loss: 2.624406099319458
Iter-11000; D_loss: 0.59682697057724; G_loss: 2.668696880340576
Iter-12000; D_loss: 0.711113452911377; G_loss: 2.401885509490967
Iter-13000; D_loss: 0.7005552649497986; G_loss: 2.4120309352874756
Iter-14000; D_loss: 0.6816340088844299; G_loss: 2.4768097400665283
Iter-15000; D_loss: 0.8199543356895447; G_loss: 2.2225887775421143
Iter-16000; D_loss: 0.6136703491210938; G_loss: 2.3213813304901123
Iter-17000; D_loss: 0.5786684155464172; G_loss: 2.3334426879882812
Iter-18000; D_loss: 0.5918607711791992; G_loss: 1.89707350730896
Iter-19000; D_loss: 0.6433102488517761; G_loss: 2.105242967605591
Iter-20000; D_loss: 0.699147641658783; G_loss: 2.294600486755371
Iter-21000; D_loss: 0.5932392477989197; G_loss: 2.135253667831421
Iter-22000; D_loss: 0.6063427925109863; G_loss: 1.9805829524993896
Iter-23000; D_loss: 0.686589241027832; G_loss: 2.307128667831421
Iter-24000; D_loss: 0.6429980993270874; G_loss: 1.9668774604797363
Iter-25000; D_loss: 0.7193344831466675; G_loss: 2.2326083183288574
Iter-26000; D_loss: 0.7233313918113708; G_loss: 2.3596489429473877
Iter-27000; D_loss: 0.4508369565010071; G_loss: 2.646127223968506
Iter-28000; D_loss: 0.6220252513885498; G_loss: 2.3064873218536377
Iter-29000; D_loss: 0.7654686570167542; G_loss: 2.124677896499634
Iter-30000; D_loss: 0.7485764622688293; G_loss: 2.05592942237854
Iter-31000; D_loss: 0.5368112325668335; G_loss: 2.4383935928344727
Iter-32000; D_loss: 0.6460190415382385; G_loss: 2.4212491512298584
Iter-33000; D_loss: 0.8510050773620605; G_loss: 2.446383237838745
Iter-34000; D_loss: 0.7735433578491211; G_loss: 2.418674945831299
Iter-35000; D_loss: 0.6349509954452515; G_loss: 2.545531749725342
Iter-36000; D_loss: 0.650641918182373; G_loss: 2.4661953449249268
Iter-37000; D_loss: 0.6949112415313721; G_loss: 2.284942865371704
Iter-38000; D_loss: 0.7594212293624878; G_loss: 2.6847174167633057
Iter-39000; D_loss: 0.38653528690338135; G_loss: 3.10874342918396
Iter-40000; D_loss: 0.8494776487350464; G_loss: 2.262911558151245
Iter-41000; D_loss: 0.594181478023529; G_loss: 2.393747329711914
Iter-42000; D_loss: 0.5713602900505066; G_loss: 2.889007091522217
Iter-43000; D_loss: 0.6057694554328918; G_loss: 2.286898136138916
Iter-44000; D_loss: 0.581851065158844; G_loss: 2.1842942237854004
Iter-45000; D_loss: 0.6890794634819031; G_loss: 2.062453508377075
Iter-46000; D_loss: 0.6408509612083435; G_loss: 2.7635254859924316
Iter-47000; D_loss: 0.4785369634628296; G_loss: 2.3404128551483154
Iter-48000; D_loss: 0.5159041881561279; G_loss: 2.8315200805664062
Iter-49000; D_loss: 0.5267996191978455; G_loss: 2.445143222808838
Iter-50000; D_loss: 0.5379614233970642; G_loss: 2.60878324508667
Iter-51000; D_loss: 0.5938143730163574; G_loss: 2.4082705974578857
Iter-52000; D_loss: 0.7115820646286011; G_loss: 2.256232261657715
Iter-53000; D_loss: 0.47453951835632324; G_loss: 2.5968704223632812
Iter-54000; D_loss: 0.6588215827941895; G_loss: 2.3472793102264404
Iter-55000; D_loss: 0.4388175904750824; G_loss: 2.1230902671813965
Iter-56000; D_loss: 0.6531354188919067; G_loss: 2.1629672050476074
Iter-57000; D_loss: 0.517527163028717; G_loss: 2.320833444595337
Iter-58000; D_loss: 0.7168896794319153; G_loss: 2.1440255641937256
Iter-59000; D_loss: 0.5935084819793701; G_loss: 2.574981451034546
Iter-60000; D_loss: 0.6845186352729797; G_loss: 2.0370054244995117
Iter-61000; D_loss: 0.5162729024887085; G_loss: 2.5689308643341064
Iter-62000; D_loss: 0.7337037324905396; G_loss: 3.00761342048645
Iter-63000; D_loss: 0.7014551162719727; G_loss: 2.4800615310668945
Iter-64000; D_loss: 0.7057058811187744; G_loss: 2.404693126678467
Iter-65000; D_loss: 0.555804431438446; G_loss: 1.985326886177063
Iter-66000; D_loss: 0.6388031244277954; G_loss: 2.304551124572754
Iter-67000; D_loss: 0.5578958988189697; G_loss: 1.8337767124176025
Iter-68000; D_loss: 0.7664186954498291; G_loss: 2.394970178604126
Iter-69000; D_loss: 0.5948473215103149; G_loss: 2.8698818683624268
Iter-70000; D_loss: 0.5205342173576355; G_loss: 2.2832791805267334
Iter-71000; D_loss: 0.5366723537445068; G_loss: 2.451895236968994
Iter-72000; D_loss: 0.5238552689552307; G_loss: 2.732804298400879
Iter-73000; D_loss: 0.632032036781311; G_loss: 2.6107378005981445
Iter-74000; D_loss: 0.5622114539146423; G_loss: 2.7051472663879395
Iter-75000; D_loss: 0.5227140188217163; G_loss: 2.224602460861206
Iter-76000; D_loss: 0.5434481501579285; G_loss: 2.2887134552001953
Iter-77000; D_loss: 0.6806823015213013; G_loss: 2.548577070236206
Iter-78000; D_loss: 0.5572800040245056; G_loss: 1.9432721138000488
Iter-79000; D_loss: 0.6869527101516724; G_loss: 2.660245895385742
Iter-80000; D_loss: 0.5521283149719238; G_loss: 2.372523069381714
Iter-81000; D_loss: 0.8347154259681702; G_loss: 2.229069709777832
Iter-82000; D_loss: 0.5198780298233032; G_loss: 2.1861464977264404
Iter-83000; D_loss: 0.7392299175262451; G_loss: 2.7499444484710693
Iter-84000; D_loss: 0.6461871266365051; G_loss: 2.2578365802764893
Iter-85000; D_loss: 0.5355637669563293; G_loss: 2.4048593044281006
Iter-86000; D_loss: 0.6768616437911987; G_loss: 2.325322151184082
Iter-87000; D_loss: 0.637104332447052; G_loss: 1.985039472579956
Iter-88000; D_loss: 0.48939090967178345; G_loss: 1.9871350526809692
Iter-89000; D_loss: 0.6959631443023682; G_loss: 2.2921128273010254
