Iter-0; D_loss: 1.2034118175506592; G_loss: 2.5694611072540283
Iter-1000; D_loss: 0.00774769950658083; G_loss: 7.150470733642578
Iter-2000; D_loss: 0.007392083294689655; G_loss: 7.3281779289245605
Iter-3000; D_loss: 0.01847255975008011; G_loss: 5.733172416687012
Iter-4000; D_loss: 0.24867825210094452; G_loss: 6.347170352935791
Iter-5000; D_loss: 0.2661166191101074; G_loss: 4.83577823638916
Iter-6000; D_loss: 0.29281967878341675; G_loss: 4.309417724609375
Iter-7000; D_loss: 0.47758638858795166; G_loss: 2.9752492904663086
Iter-8000; D_loss: 0.43350374698638916; G_loss: 4.096899509429932
Iter-9000; D_loss: 0.3560336232185364; G_loss: 2.5853002071380615
Iter-10000; D_loss: 0.595644474029541; G_loss: 3.0406858921051025
Iter-11000; D_loss: 0.7314642667770386; G_loss: 2.8166284561157227
Iter-12000; D_loss: 0.934914231300354; G_loss: 2.270933151245117
Iter-13000; D_loss: 0.8522936105728149; G_loss: 2.2621662616729736
Iter-14000; D_loss: 0.9001955986022949; G_loss: 2.45976185798645
Iter-15000; D_loss: 0.6664087176322937; G_loss: 2.5224075317382812
Iter-16000; D_loss: 0.6726335287094116; G_loss: 2.182912826538086
Iter-17000; D_loss: 0.5913479328155518; G_loss: 1.965718150138855
Iter-18000; D_loss: 0.8258810043334961; G_loss: 1.701287865638733
Iter-19000; D_loss: 1.1346476078033447; G_loss: 1.8806054592132568
Iter-20000; D_loss: 0.8255747556686401; G_loss: 2.004690647125244
Iter-21000; D_loss: 0.7197195291519165; G_loss: 1.8861582279205322
Iter-22000; D_loss: 0.7419068813323975; G_loss: 1.7106081247329712
Iter-23000; D_loss: 1.0463941097259521; G_loss: 1.487076759338379
Iter-24000; D_loss: 0.7831159830093384; G_loss: 1.8605217933654785
Iter-25000; D_loss: 0.8151777982711792; G_loss: 1.6570509672164917
Iter-26000; D_loss: 0.7628147602081299; G_loss: 1.9242808818817139
Iter-27000; D_loss: 0.5966242551803589; G_loss: 1.9486124515533447
Iter-28000; D_loss: 0.6870111227035522; G_loss: 1.920464038848877
Iter-29000; D_loss: 0.893704354763031; G_loss: 2.2177228927612305
Iter-30000; D_loss: 0.8137589693069458; G_loss: 2.441589593887329
Iter-31000; D_loss: 0.5788670182228088; G_loss: 1.9169237613677979
Iter-32000; D_loss: 0.8709267377853394; G_loss: 2.117793560028076
Iter-33000; D_loss: 0.680869460105896; G_loss: 2.3879308700561523
Iter-34000; D_loss: 0.6157460808753967; G_loss: 2.3125178813934326
Iter-35000; D_loss: 0.5945883989334106; G_loss: 2.0324177742004395
Iter-36000; D_loss: 0.6999683380126953; G_loss: 2.0585386753082275
Iter-37000; D_loss: 0.6986480951309204; G_loss: 2.2138285636901855
Iter-38000; D_loss: 0.7000583410263062; G_loss: 2.109536647796631
Iter-39000; D_loss: 0.567127525806427; G_loss: 2.090681791305542
Iter-40000; D_loss: 0.7406260371208191; G_loss: 2.046292781829834
Iter-41000; D_loss: 0.7397920489311218; G_loss: 2.1579787731170654
Iter-42000; D_loss: 0.6780705451965332; G_loss: 2.231153726577759
Iter-43000; D_loss: 0.6123913526535034; G_loss: 2.232051372528076
Iter-44000; D_loss: 0.7133394479751587; G_loss: 2.2746291160583496
Iter-45000; D_loss: 0.9543817639350891; G_loss: 2.3721156120300293
Iter-46000; D_loss: 0.7452858686447144; G_loss: 2.4983339309692383
Iter-47000; D_loss: 0.6644368767738342; G_loss: 2.4847095012664795
Iter-48000; D_loss: 0.7299777865409851; G_loss: 2.161827802658081
Iter-49000; D_loss: 0.5173337459564209; G_loss: 2.4123482704162598
Iter-50000; D_loss: 0.5273416638374329; G_loss: 2.380009174346924
Iter-51000; D_loss: 1.055188775062561; G_loss: 2.435784339904785
Iter-52000; D_loss: 0.5179184079170227; G_loss: 2.268022298812866
Iter-53000; D_loss: 0.7620351910591125; G_loss: 2.5405828952789307
Iter-54000; D_loss: 0.6157846450805664; G_loss: 2.7916786670684814
Iter-55000; D_loss: 0.6486601829528809; G_loss: 2.3102850914001465
