Iter-87000; D_loss: 0.5428760647773743; G_loss: 2.5686697959899902
Iter-88000; D_loss: 0.5530551671981812; G_loss: 2.525359630584717
Iter-89000; D_loss: 0.5898199081420898; G_loss: 2.4709763526916504
Iter-90000; D_loss: 0.500201940536499; G_loss: 2.2847273349761963
Iter-91000; D_loss: 0.5244492888450623; G_loss: 2.6333415508270264
Iter-92000; D_loss: 0.6282377243041992; G_loss: 2.7220799922943115
Iter-93000; D_loss: 0.4489777684211731; G_loss: 2.508035182952881
Iter-94000; D_loss: 0.5656697154045105; G_loss: 2.7355539798736572
Iter-95000; D_loss: 0.5918253660202026; G_loss: 2.2432150840759277
Iter-96000; D_loss: 0.49841955304145813; G_loss: 2.422950029373169
Iter-97000; D_loss: 0.5432077646255493; G_loss: 2.9203739166259766
Iter-98000; D_loss: 0.6209293603897095; G_loss: 2.403205394744873
Iter-99000; D_loss: 0.6068593859672546; G_loss: 2.679497718811035
